,Open,High,Low,Close,Volume
2024-10-15,2729.45,2743.55,2681.6001,2689.0,642711.0
2024-10-14,2761.7,2761.7,2736.5,2745.2,252419.0
2024-10-11,2742.0,2767.05,2738.0,2742.2,441282.0
2024-10-10,2764.3501,2772.0,2740.0,2742.05,365450.0
2024-10-09,2802.7,2802.7,2744.1499,2750.1001,320542.0
2024-10-08,2760.0,2802.75,2728.6001,2796.05,159251.0
2024-10-07,2799.95,2799.95,2722.8999,2740.95,561201.0
2024-10-04,2814.0,2835.95,2766.0,2773.8,1120117.0
2024-10-03,2870.3,2899.95,2775.0,2815.25,3544881.0
2024-10-01,2962.7,2978.0,2926.0,2929.8,734210.0
2024-09-30,3036.0,3044.3,2950.0,2953.8,425373.0
2024-09-27,3000.0,3066.8999,2984.0,3052.3999,451159.0
2024-09-26,2984.95,3008.0,2976.1001,3000.7,151526.0
2024-09-25,2969.25,2993.6001,2960.5,2987.45,147398.0
2024-09-24,2979.95,3000.0,2976.3999,2979.25,231805.0
2024-09-23,2980.1001,3002.75,2979.2,2988.3999,298496.0
2024-09-20,2949.0,2991.1499,2943.55,2973.1001,1703033.0
2024-09-19,2930.95,2953.0,2911.2,2939.3501,60806.0
2024-09-18,2940.0,2964.0,2922.0,2926.25,197345.0
2024-09-17,2948.7,2954.0,2933.8,2944.6001,180322.0
2024-09-16,2957.5,2961.6001,2930.0,2942.8999,41420.0
2024-09-13,2954.3999,2966.0,2938.7,2944.45,362535.0
2024-09-12,2918.75,2971.0,2892.3,2958.3999,344917.0
2024-09-11,2928.95,2937.0,2895.3,2903.1001,128675.0
2024-09-10,2924.8,2943.95,2916.0,2923.0,217523.0
2024-09-09,2932.1001,2939.0,2912.5,2926.05,218033.0
2024-09-06,2989.8999,2996.2,2922.75,2929.8501,1020042.0
2024-09-05,3039.45,3052.05,2975.0,2987.1499,312253.0
2024-09-04,2995.8999,3034.0,2995.8999,3029.8,201285.0
2024-09-03,3041.6499,3045.0,3015.3,3019.6001,206877.0
2024-09-02,3031.6499,3053.3501,3012.8,3032.8,300104.0
2024-08-30,3083.95,3083.95,3006.95,3019.75,695904.0
2024-08-29,3014.95,3074.8,2988.0,3040.8501,545805.0
2024-08-28,3013.95,3015.0,2985.3501,2995.75,51098.0
2024-08-27,3023.0,3025.1001,2998.0,3000.45,72560.0
2024-08-26,3015.0,3046.1499,3005.45,3024.1499,195090.0
2024-08-23,3015.3999,3022.6499,2996.2,2999.95,525496.0
2024-08-22,3001.3,3011.8,2981.3501,2995.1001,193482.0
2024-08-21,2985.0,3015.8501,2980.0,2996.55,90361.0
2024-08-20,2986.25,3007.6499,2981.0,2993.3501,311800.0
2024-08-19,2967.45,2996.3501,2963.0,2977.2,92320.0
2024-08-16,2933.3501,2961.0,2916.6499,2956.1499,623255.0
2024-08-14,2926.5,2943.3999,2908.0,2922.6499,57087.0
2024-08-13,2925.0,2939.8999,2915.6001,2926.8999,1486008.0
2024-08-12,2932.3999,2946.0,2916.2,2921.5,146474.0
2024-08-09,2927.7,2954.05,2912.05,2948.3,381256.0
